Código;descricao_insumo;descricao_detalhes;Descrição;Descrição Família Insumo;Descrição Conta Financeira
1980;URANIA K 10W40 100% SINTETICO API CI-4;;URANIA K 10W40 100% SINTETICO API CI-4;;Lubrificantes
2077;GRAXA BLUE 20KG;;GRAXA BLUE 20KG;;Lubrificantes
2078;GRAXA UNIGRAX 20KG;;GRAXA UNIGRAX 20KG;;Lubrificantes
2111;OLEO 15W40CI 4 BD 20L;;OLEO 15W40CI 4 BD 20L;;Lubrificantes
2291;ADITIVO PARA FLUIDO;;ADITIVO PARA FLUIDO;;Lubrificantes
2339;LUBRAX EXTRA TURBO 1LT;;LUBRAX EXTRA TURBO 1LT;;Lubrificantes
2430;OLEO ATF DEXRON III;;OLEO ATF DEXRON III;;Lubrificantes
2480;OLEO 80W-90;;OLEO 80W-90;;Lubrificantes
2502;PETRONAS URANIA 1000 E 15W40 (1X20L;;PETRONAS URANIA 1000 E 15W40 (1X20L;;Lubrificantes
2503;LT LUST GEAR EP SAE 85W140 API GL-5 BD;;LT LUST GEAR EP SAE 85W140 API GL-5 BD;;Lubrificantes
2504;ÓLEO CAIXA CAMBIO EATON SAE-40 (LINHA;;ÓLEO CAIXA CAMBIO EATON SAE-40 (LINHA;;Lubrificantes
2557;GRAXA MP2 1KG ROLAMENTO DULUB;;GRAXA MP2 1KG ROLAMENTO DULUB;;Lubrificantes
2592;BALDE;;BALDE;;Lubrificantes
2646;OLEO STIHL CASTROL;;OLEO STIHL CASTROL;;Lubrificantes
2647;OLEO STIHL 1L PARA CORRENTE;;OLEO STIHL 1L PARA CORRENTE;;Lubrificantes
2663;BRUTUS PROT T5 15W40 CH4 1 LT;;BRUTUS PROT T5 15W40 CH4 1 LT;;Lubrificantes
2664;IPIRANGA 2T 1;;IPIRANGA 2T 1;;Lubrificantes
2709;GRAXA CHASSIS 1KG;;GRAXA CHASSIS 1KG;;Lubrificantes
2711;OLEO DULUB HIDRAULICO 68 20L;;OLEO DULUB HIDRAULICO 68 20L;;Lubrificantes
2757;FILTRO DE CABINE VW;;FILTRO DE CABINE VW;;Lubrificantes
2758;OLÉO SINTETICO PAG 46;;OLÉO SINTETICO PAG 46;;Lubrificantes
3074;MICRO OLEO 0300ml - CAR LUB;;MICRO OLEO 0300ml - CAR LUB;;Lubrificantes
3106;MICRO OLEO 250ml;;MICRO OLEO 250ml;;Lubrificantes
3299;GALÃO DE ÓLEO DE FREIO DOT4;;GALÃO DE ÓLEO DE FREIO DOT4;;Lubrificantes
3370;BALDE OLEO TOP TURBO;;BALDE OLEO TOP TURBO;;Lubrificantes
3371;OLEO 20W50;;OLEO 20W50;;Lubrificantes
3388;SPRAY WD 40 300 ML;;SPRAY WD 40 300 ML;;Lubrificantes
3710;LUBRAX EXTRA TURBO 15W40 3LTS;;LUBRAX EXTRA TURBO 15W40 3LTS;;Lubrificantes
3893;OLEO MOTOR 15W40;;OLEO MOTOR 15W40;;Lubrificantes
3895;OLEO ATF DEXRON III;;OLEO ATF DEXRON III;;Lubrificantes
1738;MATERIAL DE CONSUMO E LIMPEZA;SACO PRETO ULTRA 60L;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;MULTIUSO YPE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DESINFETANTE 500ML;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESPONJA DUPLA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIMPA VIDRO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;GUARDANAPO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL TOALHA FL DUPLA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PANO DE PRATO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LAVA ROUPA PO TIXAN YPE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LAVA ROUPA LIQ TIXAN YPE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;AMACIANTE 2L;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DETERGENTE YPE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL HIGIENICO 30MTX C/4 ROLOS F.SIMPLES;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABAO EM PO P ROUPAS 800G;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;VASSOURA DE GRAMA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ALVEJANTE COM CLORO (AGUA SANITARIA) 1LT;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DESINFETANTE 1L;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESPONJA ACO PCT C/ 8UNI;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESPONJA VERDE / AMARELO MARLY;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL HIGIENICO BR ROLAO 300MX9CM;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CESTO LIXO TELADO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIXEIRA C BASCULANTE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ALCOOL GEL 70% C/ VAL PUMP;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DETERGENTE LOUCA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL TOALHA INTERFOLHA C/1000 20X20CM;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PANO CHAO ALVEJADO 40X70CM;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LUVA LAT NAT FLOC AM 60MM 26/08/2025 - 16:27:00 SIENGE / SOFTPLAN 10 de 36 Detalhes de Insumos Tabela 9 - GUERRERO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PA LIXO COLORIDA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;COPO AGUA 180/200ML C/ 100;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CAL VIRGEM 20KG;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SACO PARA LIXO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SÃO EM PÓ;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;AMACIANTE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;GALÕES SABÃO P/ROUPAS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;FARDO PAPEL HIGIENICO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESPONJA P/LAVAR LOUÇA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;COPOS DESCARTÁVEIS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;COPOS DESCARTÁVEIS 2;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIXEIRA P/ RESÍDUOS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SÃO P/ ROUPAS 5 LITROS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;AMACIANTE 5 LITROS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ALCOOL GEL 70%;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ALVEJANTTE COM CLORO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESPONJA AÇO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LUVA LAT NAT;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DETERGENTE 500 ML;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DETERGENTE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABÃO TIPO A;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;VASSOURA TIPO 1;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;RODO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ALCOOL GEL 500ML;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PCT PAPEL HIG ROLÃO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;FLANELA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;GUARDANAPO 21x19;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESCOVA DE AÇO 6X12 ROTATIVA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESCOVA DE AÇO JOGO 03 PEÇAS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESCOVA DE AÇO SPARTA C/CABO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LUSTRA MÓVEIS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;KIT DE LIMPEZA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;BORRIFADOR / LIMPEZA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SAPONACEO CREMOSO 250 ML LIMÃO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIMPA ALUMINIO 500 ML VERDE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DESINFETANTE HOSPITALAR CAETE ÁLCOOL 70 1 LT;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DETERGENTE YPE 500ML;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL TOALHA DIAMANTE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DESINFETANTE 5 LITROS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SACO DE LIXO 40L;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ACQUA ECO PERFUMADO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL TOALHA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;BORRIFADOR;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESPONJA DE AÇO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;INSETICIDA AER;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;JOGO DE FACAS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;JOGO DE COLHERES;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESPONJA DUPLA FACE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIMPADOR MULTIUSO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SACO VIMAR EXTRA ALVEJADO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIMPA VIDRO TIPO 1;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIMPA VIDRO TIPO 2;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;GLADE DIFUSOR 100ML LAVANDA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;FLANELA TIPO 1;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;RODO TIPO 1;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;VASSOURA REFORÇADA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PANO DE CHÃO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PANO P/LIMPEZA SUPER ABSORVENTE ANADRI 30CM X 40CM;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;BOLSA PLASTICA 1 KG 26/08/2025 - 16:27:00 SIENGE / SOFTPLAN 11 de 36 Detalhes de Insumos Tabela 9 - GUERRERO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;RODO PARA PIA 14CM;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PANO MULTIUSO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIMPOL;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;INSETICIDA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIMPADOR PERFUMADO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;OLEO AROMAX;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL HIG F DUPLA 30M;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;AROMATIZADOR BOM AR AERO 360ML;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SPRAY AROMATIZANTE AROMATIZANTE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE PREMISSE LINN SPA PI;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;COPO MEDIDOR;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;COLHER DE BAMBU;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;AROMA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CAIXA MULTIUSO 3,5 LITROS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PALITEIRO PLASTICO COM PALITOS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LINHA DE PESCA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SODA CAUSTICA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PEDRA SANITARIA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;NAFTALINA EM BOLAS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESCOVA DE ROUPA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESCOVA P/ VASO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL HIGIENICO 300MT A;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL HIGIENICO 300MT B;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PORTA COPO DESCARTAVEL;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PORTA PAPEL HIGIENICO A;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PORTA PAPEL HIGIENICO B;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PORTA PAPEL TOALHA INTERFOLHADO A;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PORTA PAPEL TOALHA INTERFOLHADO B;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PORTA SABONETE LIQUIDO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SACO DE LIXO 50L;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SACO DE LIXO 100L;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DESINFETANTE 2LT;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CLORO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SACO DE ALGODÃO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ALCOOL LIQUIDO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;BANDEJA REDONDA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;COADOR;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PAPEL INTERFOLHA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DESINF LAVANDA 2L A;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DESINF NEUTRO 2L;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;VELVET TOALHA DE PISO 80 CM X 48 CM;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CUSHY TOALHA DE PISO 80 CM X 48 CM;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;LIXEIRA RED. 10 L;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PANO DE CHÃO 68X39;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SHAMPOO KIT;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CONDICIONADOR;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE A;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE B;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE C;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE D;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE E;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE F;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE G;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE H;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SABONETE I;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CONDICIONADOR B;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CONDICIONADOR C;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CONDICIONADOR D;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;CONDICIONADOR E;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SHAMPOO KIT B;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SHAMPOO KIT C 26/08/2025 - 16:27:00 SIENGE / SOFTPLAN 12 de 36 Detalhes de Insumos Tabela 9 - GUERRERO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SHAMPOO KIT D;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;FIO DENTAL;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;AGUA SANITARIA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ÁGUA SANITÁRIA B;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PEDRA SANITÁRIA EUCAL;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;BRILHA INOX AZULIM 500 ML;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ESPONJA PRATIK;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DETERGENTE MINUANO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DETER PO BRILHANTE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ALVEJANTE 5 LITROS;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;SAPONACEO FACILITA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;PULVERIZADOR 500ml;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;BOINA DE POLIMENTO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;VONIXX PANO MICROFIBRA 40X60CM ROXO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;BALDE;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;GUARDANAPO 22x20;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;GUARDANAPO FOL DUPLA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;BOBINA 40x60 10KG;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;AROMATIZADOR BOM AR AERO 360ML II;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;DESODOR PEDRA;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
1738;MATERIAL DE CONSUMO E LIMPEZA;ISQUEIRO;MATERIAL DE CONSUMO E LIMPEZA;;Material de Copa e
